node,technology,year_act,mode,time,type_addon,value,unit
R12_SAS,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1970,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1975,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1980,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1985,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1990,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_WEU,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1965,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1970,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1975,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1980,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1985,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1990,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_FSU,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,1985,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,1990,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_PAO,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_PAS,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_CHN,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,1995,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2000,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2005,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2010,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2015,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2020,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2025,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2030,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2035,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2040,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2045,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2050,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2055,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2060,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2070,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2080,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2090,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2100,M4,year,coal_adv_rccs_addon,1,-
R12_RCPA,coal_adv,2110,M4,year,coal_adv_rccs_addon,1,-
